account,symbol,execution_price,size,side,time,closedPnL,leverage
TRD_041,SOLUSDT,33877.332964901216,1.223643127330148,SHORT,2024-01-01 02:06:00,-29.54433987283076,10
TRD_019,BNBUSDT,46119.16527133676,1.0092985110874015,LONG,2024-01-01 02:39:00,274.20145456781984,1
TRD_037,ETHUSDT,41538.05791808676,1.4398812530103722,SHORT,2024-01-01 03:35:00,-404.45681986818124,1
TRD_018,SOLUSDT,52405.79221423477,0.32076826838526185,LONG,2024-01-01 15:01:00,-1022.3477233257058,20
TRD_016,ETHUSDT,38214.53773367895,1.8416776626024014,LONG,2024-01-01 15:17:00,974.6893819855253,5
TRD_004,BTCUSDT,31527.53245351834,1.2908292671245702,SHORT,2024-01-02 01:15:00,-543.5024115518414,5
TRD_012,BTCUSDT,43490.42814414506,0.5491979258444135,SHORT,2024-01-02 01:39:00,436.2122003948469,20
TRD_029,BNBUSDT,48047.824974857314,0.25527487919473746,LONG,2024-01-02 02:17:00,360.2146603703332,1
TRD_007,ETHUSDT,27130.002691484522,0.3079538726509187,SHORT,2024-01-02 03:00:00,-397.9249601960683,10
TRD_014,ETHUSDT,47835.93128665826,1.567499224523255,LONG,2024-01-02 13:37:00,989.9520770023073,50
TRD_012,ETHUSDT,35962.835262394845,1.1803390060927863,LONG,2024-01-02 15:12:00,42.29458010802919,10
TRD_035,BTCUSDT,39622.594243425396,0.7677089985291848,LONG,2024-01-02 22:15:00,78.88414702772383,1
TRD_005,BNBUSDT,33965.90645316406,0.6724726839118912,LONG,2024-01-02 22:35:00,-759.1280295504473,10
TRD_017,ETHUSDT,66570.516389653,1.712958428757055,LONG,2024-01-03 04:54:00,-1045.9946299262144,1
TRD_042,ETHUSDT,54166.814064010694,1.7507774223251074,LONG,2024-01-03 05:11:00,-111.28729479132801,5
TRD_032,SOLUSDT,33123.01557003417,1.166711456454393,SHORT,2024-01-03 07:58:00,,20
TRD_010,ETHUSDT,52251.56672759751,1.0538426906734222,LONG,2024-01-03 12:26:00,-920.9133705918721,1
TRD_043,BNBUSDT,62428.620479102305,1.6347316037323774,LONG,2024-01-03 18:09:00,82.67689902919419,1
TRD_017,SOLUSDT,40081.51041663843,1.5011770077908067,LONG,2024-01-03 18:51:00,50.80212407002709,5
TRD_005,SOLUSDT,61497.87545780911,0.806647114822299,LONG,2024-01-03 20:56:00,630.5136668874246,100
TRD_045,SOLUSDT,27720.747216999618,0.17464998265420542,LONG,2024-01-03 20:58:00,518.2399846931683,5
TRD_042,BTCUSDT,61139.0682433084,1.539315213651928,SHORT,2024-01-04 11:14:00,80.14076647076266,1
TRD_009,SOLUSDT,47014.71213361832,0.34571504759108507,SHORT,2024-01-04 11:59:00,,10
TRD_049,ETHUSDT,31148.724400499104,0.04259004389217189,LONG,2024-01-04 14:49:00,-349.9295045536671,10
TRD_033,BTCUSDT,40357.06922779557,1.6881723236559418,LONG,2024-01-04 21:06:00,-562.7176751210696,5
TRD_036,BTCUSDT,69399.64962233083,1.1607251522200701,LONG,2024-01-04 23:30:00,-303.1998945994637,50
TRD_036,BTCUSDT,59177.800832121306,1.7844154107161592,SHORT,2024-01-05 11:44:00,-543.4059687338714,5
TRD_018,BTCUSDT,48754.318069255765,0.9743302855632598,SHORT,2024-01-06 04:21:00,-42.551453652703934,5
TRD_009,BTCUSDT,25758.19559522628,1.853697390415692,LONG,2024-01-06 04:45:00,-7.366131130756866,1
TRD_029,BTCUSDT,40890.57914507501,0.7144037784779389,SHORT,2024-01-06 05:31:00,-127.34041107792612,10
TRD_050,BTCUSDT,33152.57570059686,1.451798784645243,LONG,2024-01-06 11:46:00,64.67612105457147,5
TRD_014,SOLUSDT,23550.05397526951,0.6089631534309492,LONG,2024-01-06 12:47:00,-219.59473987771423,20
TRD_025,BNBUSDT,47110.219435965744,0.012315692012677078,SHORT,2024-01-06 13:56:00,430.83058582708674,100
TRD_015,ETHUSDT,64459.28499204381,0.7656916237524239,SHORT,2024-01-07 07:18:00,124.35762715236137,1
TRD_006,ETHUSDT,53779.99340870626,1.478153371087385,SHORT,2024-01-07 15:43:00,-232.0109262735495,100
TRD_042,SOLUSDT,32484.019399025558,0.3085481170985627,SHORT,2024-01-07 20:45:00,-573.2670245075146,5
TRD_029,SOLUSDT,48679.23034768946,1.014556046082712,SHORT,2024-01-08 02:07:00,-30.789719381546902,5
TRD_015,BTCUSDT,67161.71416734844,0.4325197548529229,LONG,2024-01-08 09:31:00,580.5743161139759,20
TRD_029,BNBUSDT,56145.752646146764,0.1585020016240148,SHORT,2024-01-08 10:19:00,304.72215786876427,10
TRD_004,BTCUSDT,54473.6949703382,1.2387294440691894,LONG,2024-01-08 11:45:00,389.08486650278303,20
TRD_018,SOLUSDT,68407.90831137582,1.904415568383772,SHORT,2024-01-08 20:23:00,372.02443746139255,5
TRD_050,BTCUSDT,59943.66555920124,0.628301395248655,LONG,2024-01-08 21:50:00,617.8308963379553,50
TRD_049,ETHUSDT,26831.177154937606,1.1654851427163013,SHORT,2024-01-09 00:29:00,441.05542875899965,20
TRD_044,ETHUSDT,37381.754348810064,1.907670701824081,SHORT,2024-01-09 09:55:00,84.53543462237086,5
TRD_039,BTCUSDT,68257.0350368843,1.304461866489428,LONG,2024-01-09 12:49:00,-193.53773668862317,50
TRD_016,BNBUSDT,44485.26970989989,1.349495471596809,SHORT,2024-01-09 13:06:00,447.9877483156598,100
TRD_011,BTCUSDT,25581.87226605927,0.3660677380060634,LONG,2024-01-09 14:00:00,-1199.550649257813,5
TRD_014,BTCUSDT,42930.243983617096,0.9902932609171251,SHORT,2024-01-09 15:47:00,643.6961693235966,10
TRD_003,BNBUSDT,54849.661703540034,0.7404946667036209,LONG,2024-01-10 04:24:00,355.00508098160424,20
TRD_050,BNBUSDT,69877.41108406206,0.9472041362581497,LONG,2024-01-10 05:01:00,829.3001105902143,20
TRD_042,BNBUSDT,36195.265828160096,1.6036448871193356,SHORT,2024-01-10 13:40:00,-549.795500981699,1
TRD_038,ETHUSDT,45704.34374396369,0.9267909856147356,SHORT,2024-01-10 23:50:00,591.0148011134763,10
TRD_045,BTCUSDT,63984.035232489696,0.1350728497330918,SHORT,2024-01-11 09:55:00,341.78029800916755,100
TRD_042,SOLUSDT,37763.360902866676,1.8120279056902173,SHORT,2024-01-11 13:36:00,-293.7353791008834,5
TRD_018,BNBUSDT,25463.07782954286,1.0941836160294216,SHORT,2024-01-11 17:14:00,-58.17636793100142,20
TRD_020,BNBUSDT,67446.7937500752,1.8497437734752809,LONG,2024-01-12 00:56:00,-93.13548830966839,10
TRD_048,BTCUSDT,44422.040335675,1.1489854789349727,SHORT,2024-01-12 03:41:00,-172.48367307783013,5
TRD_025,SOLUSDT,45139.185538598584,0.14857626879037059,SHORT,2024-01-12 07:19:00,-664.3242376985371,1
TRD_038,BTCUSDT,51060.00723020911,1.1102100931162848,LONG,2024-01-12 11:35:00,597.1680828271719,20
TRD_013,BTCUSDT,20176.83118516123,1.1557204756604345,LONG,2024-01-12 21:18:00,-463.16626247267817,5
TRD_004,BNBUSDT,66556.55877844246,0.43653635989252143,SHORT,2024-01-13 00:17:00,-514.8763517729534,5
TRD_014,BNBUSDT,38072.55423872708,0.9473478773677096,LONG,2024-01-13 02:13:00,609.5821341590154,5
TRD_033,ETHUSDT,39846.59311921743,0.9242886086285662,SHORT,2024-01-13 05:53:00,-691.3515570804378,10
TRD_028,SOLUSDT,28705.46237666175,1.2495235365510011,LONG,2024-01-13 13:13:00,-141.31759392858172,5
TRD_037,SOLUSDT,38907.58066462305,0.5266320563611016,LONG,2024-01-13 13:14:00,-487.1330537068582,10
TRD_008,BNBUSDT,60197.1765388026,1.1676793517169055,LONG,2024-01-13 22:58:00,828.3649854690077,10
TRD_044,BNBUSDT,59999.583627776745,0.4894945648475162,SHORT,2024-01-14 00:32:00,581.877458683321,1
TRD_034,BNBUSDT,66789.84204477264,0.8984260916857741,LONG,2024-01-14 04:30:00,-400.83912714123136,10
TRD_044,SOLUSDT,40161.473634039794,0.25418434168124093,SHORT,2024-01-14 07:16:00,-488.5210495524575,10
TRD_005,ETHUSDT,55436.07518742922,0.08422809024434158,SHORT,2024-01-14 12:37:00,393.6197111608608,1
TRD_005,SOLUSDT,45361.87776037786,0.6479687389235504,SHORT,2024-01-14 15:55:00,226.67490586224037,50
TRD_031,BNBUSDT,60201.13947595655,0.5563977837929855,LONG,2024-01-14 17:42:00,-167.04062105383701,5
TRD_045,BNBUSDT,55627.100456649845,0.81980246494238,SHORT,2024-01-14 18:16:00,-213.27860422121455,1
TRD_009,ETHUSDT,38395.14626431378,1.9243454138006761,LONG,2024-01-14 20:55:00,-106.9374094280999,5
TRD_042,BTCUSDT,36833.691712684624,1.0492362965929536,LONG,2024-01-14 21:59:00,460.9663945430969,5
